Year,Month,Day,Hour,Hs (m),v10 (m/s)
2008,3,19,6,1.367476837,5.212908081
2008,3,19,12,1.31594505,5.181137032
2008,3,19,18,1.434027938,7.403093203
2008,3,20,0,1.884089473,12.47167789
2008,3,20,6,3.293056567,13.86641569
2008,3,20,12,4.344667552,15.52235998
2008,3,20,18,4.970817604,15.50145874
2008,3,21,0,5.786521766,17.09084532
2008,3,21,6,5.949403645,16.07834894
2008,3,21,12,5.12722564,16.12997063
2008,3,21,18,5.105214575,16.81002702
2008,3,22,0,4.827357253,15.41608204
2008,3,22,6,3.968148869,13.41530213
2008,3,22,12,3.314549724,12.12681949
2008,3,22,18,2.577826441,8.828992402
2008,3,23,0,2.934923597,13.18266281
2008,3,23,6,3.028664837,10.92406792
2008,3,23,12,2.766862644,10.71606889
2008,3,23,18,2.750548561,8.751233792
2008,3,24,0,2.141230499,7.92796936
2008,3,24,6,1.961257676,9.069226216
2008,3,24,12,2.466735303,11.11202214
2008,3,24,18,2.840146542,11.21230198
2008,3,25,0,2.433589229,8.275380144
2008,3,25,6,2.194316008,8.236118248
2008,3,25,12,1.986894093,3.116931624
2008,3,25,18,1.917753454,2.224834862
2008,3,26,0,1.898331927,6.172811069
2008,3,26,6,1.89574239,5.696195791
2008,3,26,12,2.110673962,4.186626153
2008,3,26,18,2.371699294,3.610042459
2008,3,27,0,2.646449172,2.809725745
2008,3,27,6,2.803116162,4.728501107
2008,3,27,12,2.700052589,3.25041624
2008,3,27,18,2.402773739,4.708689574
2008,3,28,0,3.0680258,14.08043825
2008,3,28,6,3.629955334,14.70220754
2008,3,28,12,3.570395982,13.91589766
2008,3,28,18,3.812776647,11.55978955
2008,3,29,0,4.117565155,13.17106504
2008,3,29,6,4.642464309,13.85915751
2008,3,29,12,4.318513228,10.96073551
2008,3,29,18,3.876997166,4.330250894
2008,3,30,0,3.346142076,0.659615358
2008,3,30,6,2.985419569,7.586385192
2008,3,30,12,3.059221374,8.296024525
2008,3,30,18,3.030218559,5.822846495
2008,3,31,0,2.874587384,6.246958607
2008,3,31,6,2.644377543,5.486086193
2008,3,31,12,2.280547591,6.018343751
2008,3,31,18,2.190431703,11.61132424
2008,4,1,0,2.518008136,13.61765321
